id,title_blog,url_blog,author_blog,author_followers,claps,comments,publisher_followers,title_paper,url_paper
13,Making LLMs Write Better and Better Code for Self-Driving Using LangProp,https://medium.com/data-science/making-llms-write-better-and-better-code-for-self-driving-using-langprop-99c6c3dc9508,Shu Ishida,128,209,1,816000,LangProp: A code optimization framework using Large Language Models applied to driving,https://arxiv.org/abs/2401.10314
14,An Empirical Approach to Explain Deep Reinforcement Learning in Portfolio Management Task,https://medium.com/@mg3844/an-empirical-approach-to-explain-deep-reinforcement-learning-in-portfolio-management-task-e65a42225d9d,MG,3,1,0,,Explainable Deep Reinforcement Learning for Portfolio Management: An Empirical Approach,https://arxiv.org/abs/2111.03995?source=post_page-----e65a42225d9d---------------------------------------#
15,"Our paper, which explores whether people can perceive as if swarm robots were part of their body, has been accepted for CHI 2024",https://medium.com/sinicx/our-paper-which-explores-whether-people-can-perceive-as-if-swarm-robots-were-part-of-their-body-69bc10abfd64,Shigeo Yoshida,5,1,0,63,Swarm Body: Embodied Swarm Robots,https://arxiv.org/abs/2402.15830
16,Elastic Decision Transformer,https://medium.com/sinicx/elastic-decision-transformer-e8578b7d218f,Masashi Hamaya,14,2,0,63,Elastic Decision Transformer,https://arxiv.org/abs/2307.02484
17,LeDeepChef 👨🏻‍🍳 — Deep Reinforcement Learning Agent for Families of Text-based Games,https://medium.com/@leonard.adolphs.95/ledeepchef-deep-reinforcement-learning-agent-for-families-of-text-based-games-a228214378f9,Leonard Adolphs,7,93,0,,LeDeepChef: Deep Reinforcement Learning Agent for Families of Text-Based Games,https://arxiv.org/abs/1909.01646
18,LLM Agents can Autonomously Exploit Zero-day Vulnerabilities,https://medium.com/@danieldkang/llm-agents-can-autonomously-exploit-zero-day-vulnerabilities-e4664d7c598e,Daniel Kang,407,72,1,,Teams of LLM Agents can Exploit Zero-Day Vulnerabilities,https://arxiv.org/abs/2406.01637
19,"Towards Automated Penetration Testing: Introducing LLM Benchmark, Analysis, and Improvements",https://blog.gopenai.com/towards-automated-penetration-testing-introducing-llm-benchmark-analysis-and-improvements-c7d06a2bf963,Isamu Isozaki,443,17,1,2300,"Towards Automated Penetration Testing: Introducing LLM Benchmark, Analysis, and Improvements",https://arxiv.org/abs/2410.17141
20,Concept Network Reinforcement Learning for Flexible Dexterous Manipulation,https://medium.com/@BonsaiAI/concept-network-reinforcement-learning-for-flexible-dexterous-manipulation-47bf459b19b9,Bonsai,1800,25,0,,Deep Reinforcement Learning for Dexterous Manipulation with Concept Networks,https://arxiv.org/abs/1709.06977
21,New paper: The Incentives that Shape Behaviour,https://medium.com/data-science/new-paper-the-incentives-that-shape-behaviour-d6d8bb77d2e4,Ryan Carey,43,239,1,816000,The Incentives that Shape Behaviour,https://arxiv.org/abs/2001.07118
22,Improving Pinterest Search Relevance Using Large Language Models,https://medium.com/pinterest-engineering/improving-pinterest-search-relevance-using-large-language-models-4cd938d4e892,Pinterest Engineering,58000,32,0,15700,Improving Pinterest Search Relevance Using Large Language Models,https://arxiv.org/abs/2410.17152
23,BYOG (Build Your Own Guardrails) with Synthetic Data,https://medium.com/dsaid-govtech/byog-build-your-own-guardrails-with-synthetic-data-f38f9da2deae,Shing Yee,16,136,0,894,A Flexible Large Language Models Guardrail Development Methodology Applied to Off-Topic Prompt Detection,https://arxiv.org/abs/2411.12946
24,Open-sourcing an Off-Topic Prompt Guardrail,https://medium.com/dsaid-govtech/open-sourcing-an-off-topic-prompt-guardrail-fde422a66152,Shing Yee,16,113,0,894,A Flexible Large Language Models Guardrail Development Methodology Applied to Off-Topic Prompt Detection,https://arxiv.org/abs/2411.12946
25,The Generative Style Transformer,https://medium.com/agara-labs/the-generative-style-transformer-3564bce04d04,Akhilesh Sudhakar,14,56,1,77,"Transforming Delete, Retrieve, Generate Approach for Controlled Text Style Transfer",https://arxiv.org/abs/1908.09368
26,Scaling Training Data Attribution,https://medium.com/people-ai-research/scaling-training-data-attribution-f7d1eddd85da,Tyler A. Chang,3,3,0,3000,Scalable Influence and Fact Tracing for Large Language Model Pretraining,https://arxiv.org/abs/2410.17413
27,Rethinking Symbolic Regression Datasets and Benchmarks for Scientific Discovery (DMLR),https://medium.com/sinicx/rethinking-symbolic-regression-datasets-and-benchmarks-for-scientific-discovery-dmlr-b71639de3b03,Yoshitomo Matsubara,16,11,0,63,Rethinking Symbolic Regression Datasets and Benchmarks for Scientific Discovery,https://arxiv.org/abs/2206.10540
28,Hybrid Preferences: Learning to Route Instances for Human vs. AI Feedback,https://medium.com/ai2-blog/hybrid-preferences-learning-to-route-instances-for-human-vs-ai-feedback-6bed4b68c0a2,Lj Miranda,1,2,0,1600,Hybrid Preferences: Learning to Route Instances for Human vs. AI Feedback,https://arxiv.org/abs/2410.19133
29,Avoiding Unsafe States in 3D Environments using Human Feedback,https://deepmindsafetyresearch.medium.com/avoiding-unsafe-states-in-3d-environments-using-human-feedback-5869ed9fb94c,DeepMind Safety Research,3000,184,0,,Safe Deep RL in 3D Environments using Human Feedback,https://arxiv.org/abs/2201.08102
30,Alignment of Language Agents,https://deepmindsafetyresearch.medium.com/alignment-of-language-agents-9fbc7dd52c6c,DeepMind Safety Research,3000,94,0,,Alignment of Language Agents,https://arxiv.org/abs/2103.14659
31,"LegalBench-RAG, the First Open-Source Retrieval Benchmark for the Legal Domain",https://medium.com/@ghitahouiralami/legalbench-rag-the-first-open-source-retrieval-benchmark-for-the-legal-domain-bbacc015d109,Ghita Houir Alami,10,50,0,,LegalBench-RAG: A Benchmark for Retrieval-Augmented Generation in the Legal Domain,https://arxiv.org/abs/2408.10343
32,Editing Personality for Large Language Models,https://medium.com/@jack16900/editing-personality-for-large-language-models-6bfdd278d01f,NLPer,41,6,0,,Editing Personality For Large Language Models,https://arxiv.org/pdf/2310.02168
33,Learning to Balance the Safety-Efficiency Trade-offs in Interactive Crowd-aware Robot Navigation,https://medium.com/sinicx/l2b-learning-to-balance-the-safety-efficiency-trade-offs-in-interactive-crowd-aware-robot-ecc15fddb121,Mai Nishimura,6,4,0,63,L2B: Learning to Balance the Safety-Efficiency Trade-off in Interactive Crowd-aware Robot Navigation,https://arxiv.org/abs/2003.09207
34,VBART: the first Turkish LLM,https://medium.com/vngrs/vbart-the-first-turkish-llm-6f0f6f227ed4,Melikşah Türker,41,72,3,52,VBART: The Turkish LLM,https://arxiv.org/abs/2403.01308
35,Interactive Visual Search,https://medium.com/ebaytech/interactive-visual-search-51f09174a53e,Robinson Piramuthu,24,14,0,352,Give me a hint! Navigating Image Databases using Human-in-the-loop Feedback,https://arxiv.org/abs/1809.08714
36,Adaptive Distillation for Decentralized Learning from Heterogeneous Clients (ICPR’20),https://medium.com/sinicx/adaptive-distillation-for-decentralized-learning-from-heterogeneous-clients-icpr20-8c17f8f27eb2,Ryo Yonetani,28,2,0,63,Adaptive Distillation for Decentralized Learning from Heterogeneous Clients,https://arxiv.org/abs/2008.07948
37,An analytical diabolo model for robotic learning and control,https://medium.com/sinicx/an-analytical-diabolo-model-for-robotic-learning-and-control-c8d8a8384d6d,Felix von Drigalski,15,6,0,63,An analytical diabolo model for robotic learning and control,https://arxiv.org/abs/2011.09068
38,A new Transformer Model for Symbolic Regression towards Scientific Discovery,https://medium.com/sinicx/a-new-transformer-model-for-symbolic-regression-towards-scientific-discovery-be72548014ac,Ryo Igarashi,4,32,1,63,A Transformer Model for Symbolic Regression towards Scientific Discovery,https://arxiv.org/abs/2312.04070
39,Goal Misgeneralisation: Why Correct Specifications Aren’t Enough For Correct Goals,https://deepmindsafetyresearch.medium.com/goal-misgeneralisation-why-correct-specifications-arent-enough-for-correct-goals-cf96ebc60924,DeepMind Safety Research,3000,207,1,,Goal Misgeneralization: Why Correct Specifications Aren't Enough For Correct Goals,https://arxiv.org/abs/2210.01790
40,Flash-LLM: Enabling Cost-Effective and Highly-Efficient Large Generative Model Inference With Unstructured Sparsity,https://medium.com/@fsalab/flash-llm-enabling-cost-effective-and-highly-efficient-large-generative-model-inference-with-06ef6c586734,FSA Lab,9,14,0,,Flash-LLM: Enabling Cost-Effective and Highly-Efficient Large Generative Model Inference with Unstructured Sparsity,https://arxiv.org/abs/2309.10285
41,"On interventions, counterfactuals, and dynamic models",https://medium.com/@osazuwa/integrating-markov-processes-with-structural-causal-modeling-enables-counterfactual-inference-in-e16e0c4d3f9,Robert Osazuwa Ness,253,78,0,,Integrating Markov processes with structural causal modeling enables counterfactual inference in complex systems,https://arxiv.org/abs/1911.02175
42,Unsupervised Keyphrase Extraction with PatternRank,https://medium.com/data-science/unsupervised-keyphrase-extraction-with-patternrank-28ec3ca737f0,Tim Schopf,382,238,3,816000,PatternRank: Leveraging Pretrained Language Models and Part of Speech for Unsupervised Keyphrase Extraction,https://arxiv.org/abs/2210.05245
43,Efficient Hierarchical Domain Adaptation using Pretrained Language Models,https://medium.com/ai2-blog/efficient-hierarchical-domain-adaptation-using-pretrained-language-models-fdd04c001230,Alexandra Chronopoulou,5,24,0,1600,Efficient Hierarchical Domain Adaptation for Pretrained Language Models,https://arxiv.org/abs/2112.08786
44,Efficient Risk-Averse Reinforcement Learning,https://medium.com/data-science/efficient-risk-averse-reinforcement-learning-29fbd0c4a906,Ido Greenberg,47,111,0,816000,Efficient Risk-Averse Reinforcement Learning,https://arxiv.org/abs/2205.05138
45,Unsupervised Text Classification with Lbl2Vec,https://medium.com/data-science/unsupervised-text-classification-with-lbl2vec-6c5e040354de,Tim Schopf,382,308,6,816000,Lbl2Vec: An Embedding-Based Approach for Unsupervised Document Retrieval on Predefined Topics,https://arxiv.org/abs/2210.06023
46,LLM Agents can Autonomously Exploit One-day Vulnerabilities,https://medium.com/@danieldkang/llm-agents-can-autonomously-exploit-one-day-vulnerabilities-e1b76e718a59,Daniel Kang,407,61,1,,LLM Agents can Autonomously Exploit One-day Vulnerabilities,https://arxiv.org/abs/2404.08144
47,Towards Reinforcement Learning Inspired By Humans Without Human Demonstrations,https://medium.com/stanford-aiforhi/towards-reinforcement-learning-inspired-by-humans-without-human-demonstrations-a7c111a4d0de,Ramtin Keramati,42,227,2,111,Fast Exploration with Simplified Models and Approximately Optimistic Planning in Model Based Reinforcement Learning,https://arxiv.org/abs/1806.00175
48,Deep Reinforcement Learning for Cryptocurrency Trading: Practical Approach to Address Backtest Overfitting,https://pub.towardsai.net/deep-reinforcement-learning-for-cryptocurrency-trading-practical-approach-to-address-backtest-2aebfd5fa030,Berend,129,116,0,79000,Deep Reinforcement Learning for Cryptocurrency Trading: Practical Approach to Address Backtest Overfitting,https://arxiv.org/abs/2209.05559
49,Introducing Layer Enhanced Classification (LEC),https://medium.com/data-science/introducing-layer-enhanced-classification-lec-4972f4f1c79f,Tula Masterman,378,385,3,816000,Lightweight Safety Classification Using Pruned Language Models,https://arxiv.org/abs/2412.13435
